aX,aY,aZ
0.3736,0.0968,-0.9736
0.0144,0.5248,-0.8916
0.0284,1.0012,-0.02
0.0236,0.7924,0.5864
0.0564,0.118,0.9824
-0.0436,-0.5416,0.8232
0.0532,-0.9664,1.118
-0.0032,-0.7872,-0.6684
-0.608,0.0084,-0.8212
-0.9796,-0.0016,0.0228
2.2956,1.1608,0.7884
0.7336,-0.0132,0.6856
1.0216,0.0076,0.0196
-0.0144,-0.714,-0.7496
0.0172,-1.0092,-0.0052
-0.0164,-0.5608,0.8152
0.0164,-1.0096,-0.0008
0.0292,1.0012,0.0076
0.4288,0.03,-0.958
-0.0096,-0.0064,-1.0436
-0.2976,1.1616,-0.7988
-0.8448,0.01,-0.5432
-0.9796,0.002,-0.1064
-0.724,-0.0172,1.7148
0.0004,0.356,-0.978
0.2908,1.8876,-0.514
0.0192,0.9352,-0.3928
0.0356,0.9648,0.2292
0.014,0.534,0.8372
-0.9792,-0.0784,-0.0172
-0.8364,-0.1148,0.492
0.006,0.0,-1.0468
0.0184,-1.0084,-0.0036
-0.0612,-0.7864,0.5984
-0.1116,-0.3928,0.8748
0.0064,0.0016,-1.0448
-0.0624,-0.004,0.976
0.416,0.4756,0.764
0.5452,0.6748,0.4908
-0.5392,0.6252,-0.5824
-0.0764,-0.6072,-0.8336
0.0212,0.4248,-0.9468
0.0208,0.5872,-0.8488
0.0252,0.8256,-0.602
0.0292,0.916,-0.4376
0.0352,1.0,-0.0384
0.0548,0.87,0.4636
0.058,0.804,0.57
0.0804,0.6936,1.8012
0.1308,0.3348,0.9188
